STAGE_NUMBER,YEAR,NAME,DISTANCE,AVERAGE_SLOPE,INITIAL_ALTITUDE,STARTING_AT_KM,CATEGORY,lat,long,COUNTRY,DEPARTMENT,DEPARTMENT_ID
[17],2020,Col de la Loze,21.4,7.7,2302,0,0,45.4050808,6.6016031,France,Savoy,FR-73
[18],2020,Cormet de Roselend,19.3,6.0,1978,131,1,45.6913293,6.6906249,France,Savoy,FR-73
[15],2020,Grand Colombier,17.7,7.1,1497,0,0,45.9012319,5.7609029,France,Ain,FR-01
[2],2020,Col de la Colmiane,17.1,6.1,1500,121,1,44.0589077,7.2041508,France,Maritime Alps,FR-06
[17],2020,Col de la Madeleine,15.8,8.1,1992,63,0,45.4349516, 6.3755223,France,Savoy,FR-73
[2],2020,Col de Turini,15.3,7.2,1604,85,1,43.9775666,7.3916029,France,Maritime Alps,FR-06
[18],2020,Col des Saisies,15.0,6.3,1648,87,2,45.7615643,6.5333569,France,Savoy,FR-73
[7],2020,Col de Peyronnenc,14.9,3.8,877,94,3,43.7877719,2.6271658,France,Aveyron,FR-12
[16],2020,Montée de Saint-Nizier-du-Moucherotte,12.4,6.3,1169,20,1,45.1706954,5.6296649,France,Isère,FR-38
[8],2020,Port de Balès,12.2,7.6,1753,36,0,42.8741673,0.5006369,France,Haute-Garonne,FR-31
[14],2020,Col du Béal,11.9,5.3,1396,124,2,45.685236,3.7828102,France,Puy-de-Dôme,FR-63
[9],2020,Col de la Hourcère,11.8,8.3,1443,84,1,43.0155325,-0.7913589,France,Pyrénées-Atlantiques,FR-64
[6],2020,Col de la Lusette,11.8,7.2,1351,13,1,44.0679469,3.5919962,France,Gard,FR-30
[15],2020,Montée de la Selle de Fromentel,11.5,8.1,1172,64,1,45.9056703,5.7452863,France,Ain,FR-01
[13],2020,Col de Ceyssat,10.4,6.0,1074,156,1,45.7638799,2.9559459,France,Puy-de-Dôme,FR-63
[4],2020,Orcières-Merlette,10.4,6.0,1821,0,1,44.6972064,6.3235516,France,Hautes-Alpes,FR-05
[8],2020,Col de Peyresourde,9.7,7.5,1567,11,1,42.8023062,0.463075,France,Hautes Pyrenees,FR-65
[3],2020,Col du Pilon,8.4,5.1,776,143,3,43.6850106,6.8826353,France,Maritime Alps,FR-06
[4],2020,Col du Festre,8.4,5.2,1441,93,3,44.665198,5.8552856,France,Hautes-Alpes,FR-05
[16],2020,Col de Porte,8.3,6.3,1316,97,2,45.2899423,5.7669989,France,Isère,FR-38
[13],2020,Col de Guéry,7.9,4.8,1265,129,3,45.6211138,2.8206702,France,Puy-de-Dôme,FR-63
