Postcode-4,Totaal,Man,Vrouw,tot 15 jaar,15 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 jaar en ouder
1011,10010,5160,4850,680,1330,3475,2495,2025
1012,9120,4905,4215,335,1770,4490,1695,825
1013,23020,1675,11345,2210,2800,8515,5875,3625
1014,4950,2480,2475,835,590,2290,910,325
1015,14965,7465,7495,1055,1855,5370,4060,2620
1016,11355,5840,5515,745,1435,4490,2690,1995
1017,13550,7020,6530,960,2075,5590,3080,1845
1018,23430,11790,11640,1910,2940,9125,5480,3975
1019,20630,10375,10255,2425,2030,7070,6380,2730
1021,7040,3535,3505,930,900,2450,1825,935
1022,5160,2555,2605,970,810,2135,955,290
1023,4610,2155,2455,770,430,1050,1350,1005
1024,14175,6970,7205,2940,2005,4320,3305,1610
1025,16485,8030,8460,2285,2325,5065,3525,3280
1026,550,290,260,95,75,80,195,100
1027,540,295,245,70,45,130,185,110
1028,605,300,305,95,60,95,205,150
1031,9620,5000,4625,1250,985,4255,2220,910
1032,6425,3220,3205,1160,590,2115,1655,905
